"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 30 11:27:04 UTC 2026","Mon Mar 30 11:27:42 UTC 2026","38088","safari","WebAPIPart2.spec.ts","","","","@QA Client App login",""
"failed","Mon Mar 30 11:25:35 UTC 2026","Mon Mar 30 11:25:37 UTC 2026","1503","chromium","WebAPIPart1.spec.ts","","","","@API Place the order",""
"failed","Mon Mar 30 11:25:30 UTC 2026","Mon Mar 30 11:25:34 UTC 2026","3895","chromium","upload-download.spec.ts","","","","Upload download excel validation",""
"passed","Mon Mar 30 11:26:39 UTC 2026","Mon Mar 30 11:26:47 UTC 2026","7997","safari","ClientAppPO.spec.ts","","","","Client App login",""
"passed","Mon Mar 30 11:28:12 UTC 2026","Mon Mar 30 11:28:18 UTC 2026","6821","firefox","NetworlTest2.spec.ts","","","","@QW Security test request intercept",""
"passed","Mon Mar 30 11:28:05 UTC 2026","Mon Mar 30 11:28:10 UTC 2026","5145","firefox","MoreValidations.spec.ts","","","","Screenshot & Visual comparision",""
"passed","Mon Mar 30 11:27:27 UTC 2026","Mon Mar 30 11:27:32 UTC 2026","5001","safari","UIBasicstest.spec.ts","","","","@Child windows hadl",""
"passed","Mon Mar 30 11:25:09 UTC 2026","Mon Mar 30 11:25:13 UTC 2026","3637","chromium","llc.spec.ts","","","","Playwright Special locators",""
"passed","Mon Mar 30 11:26:28 UTC 2026","Mon Mar 30 11:26:39 UTC 2026","11093","safari","ClientAppPO.spec.ts","","","","@Webs Client App login for ZARA COAT 3",""
"passed","Mon Mar 30 11:27:34 UTC 2026","Mon Mar 30 11:27:37 UTC 2026","3227","firefox","Calendar.spec.ts","","","","Calendar validations",""
"passed","Mon Mar 30 11:26:49 UTC 2026","Mon Mar 30 11:26:56 UTC 2026","6894","safari","NetworlTest2.spec.ts","","","","@QW Security test request intercept",""
"failed","Mon Mar 30 11:28:19 UTC 2026","Mon Mar 30 11:28:23 UTC 2026","3847","firefox","upload-download.spec.ts","","","","Upload download excel validation",""
"passed","Mon Mar 30 11:27:55 UTC 2026","Mon Mar 30 11:27:58 UTC 2026","3796","firefox","llc.spec.ts","","","","Playwright Special locators",""
"passed","Mon Mar 30 11:29:04 UTC 2026","Mon Mar 30 11:29:15 UTC 2026","10830","firefox","WebAPIPart2.spec.ts","","","","@API Test case 2",""
"passed","Mon Mar 30 11:27:37 UTC 2026","Mon Mar 30 11:27:49 UTC 2026","12218","firefox","ClientApp.spec.ts","","","","@Webst Client App login",""
"passed","Mon Mar 30 11:26:06 UTC 2026","Mon Mar 30 11:26:11 UTC 2026","4546","chromium","UIBasicstest.spec.ts","","","","@Child windows hadl",""
"failed","Mon Mar 30 11:25:20 UTC 2026","Mon Mar 30 11:25:21 UTC 2026","1109","chromium","NetworkTest.spec.ts","","","","@SP Place the order",""
"broken","Mon Mar 30 11:24:46 UTC 2026","Mon Mar 30 11:25:19 UTC 2026","32261","chromium","ClientApp.spec.ts","","","","@Webst Client App login",""
